LicensePlate,In,Out,Type,name,age,town,email
WPM 4567,05:02:00,06:39,HGV,Bridget Kelly,30,Castlereagh,bridget.kelly@example.com
VPM 4567,05:15:00,06:45,HGV,Eilis Wilson,73,Carrickfergus,eilis.wilson@example.com
KNL 8901,05:30:00,07:01,HGV,Patrick O'Connor,41,Newry,patrick.oconnor@example.com
22-M-9012,06:35:00,07:04,HGV,Sinead Murphy,39,Galway,sineadmurphy@gmail.com
98-G-4567,07:05:00,07:15,HGV,Seán Flynn,42,Wicklow,seanflynn42@gmail.com
19-KE-6789,07:12:00,07:23,car,Colm O'Donnell,49,Cork,colmodonnell@gmail.com
LPM 4567,07:15:00,07:30,HGV,Aoife Dunne,37,Bangor,aoife.dunne@example.com
96-C-6789,07:22:00,07:43,car,Padraig O'Connor,29,Navan,padraigoconnor29@gmail.com
08-D-3456,07:30:00,08:30,HGV,Conor O'Brien,47,Belfast,conorobrien@gmail.com
11-D-5678,07:39:00,08:35,car,Sean Doyle,76,Galway,seandoyle@gmail.com
SGP 5678,07:45:00,08:45,HGV,Ryan McLaughlin,22,Coleraine,ryan.mclaughlin@example.com
99-CN-8901,07:50:00,08:47,car,Liam Nolan,23,Roscrea,liamnolan23@gmail.com
02-D-1234,08:09:00,09:00,car,Caoimhe O'Sullivan,54,Galway,caoimheosullivan@gmail.com
FZI 1234,08:15:00,09:01,HGV,Declan O'Neill,31,Ballyward,declanoneill90@gmail.com
87-D-0123,08:30:00,09:15,car,Eoin O'Sullivan,26,Clonakilty,eoinosullivan26@gmail.com
90-G-2345,08:38:00,09:24,HGV,Cillian Lynch,48,Killarney,cillianlynch48@gmail.com
LZI 1234,08:45:00,09:30,car,Shannon McLaughlin,20,Coleraine,shannon.mclaughlin@example.com
JAB 0123,08:58:00,09:36,car,Ruairi Maguire,49,Fivemiletown,ruairimaguire71@hotmail.com
13-O-7890,09:00:00,09:45,HGV,Aisling Brennan,25,Limerick,aislingbrennan@gmail.com
08-L-9012,09:08:00,09:50,HGV,Eoin Kelly,61,Limerick,eoinkelly@gmail.com
21-L-1234,09:15:00,10:00,HGV,Cillian Hayes,32,Kilkenny,cillianhayes@gmail.com
BPM 4567,09:30:00,10:04,car,Ciara Doyle,72,Lisburn,ciaradoyle47@hotmail.com
GZI 1234,09:31:00,10:15,car,Michaela Crawford,x,Antrim,michaelacrawford68@gmail.com
SGO 9012,09:45:00,10:26,HGV,Patrick Murphy,34,Belfast,patrick.murphy@example.com
76-C-7890,09:54:00,10:30,HGV,Caoilfhionn O'Shea,27,Limerick,caoilfhionnoshea@gmail.com
RGP 5678,10:00:00,10:33,car,Conor McLaughlin,21,Coleraine,conor.mclaughlin@example.com
AED 2345,10:10:00,10:45,car,Connor Quinn,28,Dungannon,connorquinn95@hotmail.com
XVT 6789,10:15:00,10:53,car,Aidan McGowan,30,Glenavy,aidan.mcgowan@qub.ac.uk
AHY 3456,10:22:00,11:00,HGV,Ryan Duffy,53,Newtownabbey,ryanduffy67@gmail.com
TAM 0123,10:30:00,11:11,car,Caitlin Hughes,47,Craigavon,caitlin.hughes@example.com
QED 2345,10:36:00,11:15,HGV,Mairead Campbell,35,Newtownabbey,mairead.campbell@example.com
JNL 8901,10:45:00,11:28,HGV,Liam O'Connor,29,Coleraine,l.oc@qub.ac.uk
NAB 0123,10:53:00,11:30,car,Aine Kelly,x,Antrim,aine.kelly@example.com
LNL 8901,11:00:00,11:44,HGV,Fiona Campbell,31,Lisburn,fiona.campbell@example.com
SGP 5678,11:01:00,11:45,car,Shannon O'Neill,28,Larne,shannon.oneill@example.com
PGO 9012,11:15:00,11:53,car,Colleen Martin,43,Omagh,colleen.martin@example.com
ZED 2345,11:26:00,12:00,car,Una Farmer,19,PG1,una@farmer.com
EGP 5678,11:30:00,12:13,car,Aisling Gallagher,26,Portadown,aislinggallagher95@hotmail.com
BFC 7890,11:42:00,12:15,HGV,Sean Gallagher,35,Enniskillen,seangallagher90@gmail.com
QFC 7890,11:45:00,12:27,car,Cathal Brennan,59,Bangor,cathal.brennan@example.com
DPM 4567,11:56:00,12:30,car,Ethan Martin,37,Dungannon,ethanmartin84@gmail.com
NFC 7890,12:00:00,12:33,car,Megan Elliott,24,Portadown,megan.elliott@example.com
WZI 1234,12:04:00,12:45,HGV,Fionnuala McCann,y,Ballyclare,fionnuala.mccann@example.com
RGO 9012,12:15:00,12:57,HGV,Ashling Hughes,28,Ballymena,ashling.hughes@example.com
KZI 1234,12:25:00,13:00,car,Siobhan Hughes,66,Craigavon,siobhan.hughes@example.com
PZI 1234,12:30:00,13:13,car,Sean Wilson,44,Lisburn,sean.wilson@example.com
TGO 9012,12:34:00,13:15,car,Sean Brown,42,Armagh,sean.brown@example.com
XNL 8901,12:45:00,13:25,car,Imogen Nixon,52,Donaghadee,imogen.nixon@example.com
VNL 8901,12:58:00,13:30,car,Brian McKinney,44,Holywood,brian.mckinney@example.com
